YearEnd,Data_Value
2015,29.5
2016,28.3
2016,26.6
2016,25.5
2020,31.9
2018,29.5
2018,30.9
2018,30.4
2018,29.8
2018,34.8
2014,28.9
2018,30.7
2018,29.9
2018,28.7
2016,30.3
2016,25
2018,27.6
2018,30.1
2018,30.1
2018,34.4
2018,27.5
2018,29.5
2018,36.6
2018,30.9
2018,31.8
2018,29
2018,26.9
2018,24.7
2018,34
2018,34.4
2015,28.9
2018,33.5
2018,28.4
2018,33
2018,32.3
2016,23.8
2018,34.1
2018,36.8
2018,35.1
2018,29.6
2011,27.4
2018,35
2018,27.7
2018,32
2018,34.1
2018,37.1
2018,25.7
2013,25.4
2017,25.7
2018,25.7
2018,27.4
2018,29.5
2018,24.9
2018,34.8
2018,30.9
2018,30.4
2018,34.3
2018,35.3
2018,25.8
2018,32.9
2018,33
2018,39.5
2018,32.5
2018,23
2018,39.5
2018,27.8
2018,36.2
2020,31
2016,34.8
2020,32.2
2016,27.1
2020,34.4
2020,36.4
2020,28.4
2020,28.1
2020,28
2020,26.3
2020,30.7
2020,33.2
2020,35.3
2020,26.3
2020,30.9
2020,36.6
2020,31.5
2020,32.4
2020,30.7
2020,28.5
2020,24.3
2020,35.5
2020,35.6
2020,36.5
2013,28.3
2020,31.1
2020,35.2
2020,30.9
2016,31.5
2020,34
2016,32
2016,29.6
2016,35.7
2020,38.1
2020,33.1
2020,29.9
2016,31.8
2016,29.9
2020,34
2022,35.2
2020,30.1
2020,32.3
2020,36.8
2020,36.4
2020,24.4
2020,27.7
2020,29.2
2020,28.7
2020,24.5
2020,35.8
2020,31.9
2020,31
2020,36.2
2020,36.5
2020,30.3
2020,31.4
2020,33.6
2020,39.1
2020,34.3
2020,24.2
2020,39.7
2020,39
2020,28.6
2012,27.7
2014,28
2017,26.7
2017,33.2
2017,28.4
2017,27.3
2014,28.3
2017,33
2017,38.1
2017,25.9
2017,31.8
2017,32.9
2017,29.4
2017,34.3
2017,26.9
2017,28.4
2017,33.6
2017,30.1
2017,34.1
2017,31.6
2017,31.1
2017,23
2017,28.4
2017,31.9
2017,28.8
2017,36.2
2015,31.6
2017,32.8
2017,25.3
2013,27.9
2017,23.8
2017,33.8
2017,34.3
2017,36.4
2017,37.3
2017,30.1
2017,25.1
2013,31
2014,32.2
2012,34.6
2011,32
2012,26.8
2011,28.3
2012,29.6
2012,26.9
2014,28.5
2012,33
2014,28.2
2015,30.1
2011,29.2
2011,31.3
2014,24.7
2013,29.8
2015,31.7
2011,25.4
2012,31.6
2014,27
2015,32.1
2012,23.6
2012,28.3
2015,35.6
2014,31.2
2015,26.7
2011,26.5
2014,29.3
2014,30.9
2011,27
2014,30.2
2012,25.7
2011,28.1
2014,35.5
2011,28.4
2011,25
2013,30
2014,26.3
2012,25.7
2015,30
2012,29.1
2011,28.8
2015,28.6
2015,26.3
2013,26.7
2017,32.1
2012,24.3
2011,20.7
2015,26.8
2015,34.5
2017,31.3
2017,27.6
2014,33
2015,29.8
2017,35
2015,29
2017,32.8
2011,30.8
2017,31.6
2017,25.3
2017,29.5
2011,24.5
2012,24.6
2013,24.1
2017,32.3
2014,28.9
2017,27.7
2017,22.6
2017,36.5
2015,29.8
2013,30
2013,28.9
2012,31.3
2014,34.9
2013,24.6
2017,32.4
2017,32
2017,30
2013,26.4
2017,29.1
2015,35.6
2017,29.3
2017,36.3
2017,28.1
2017,34.2
2017,32.5
2015,30.8
2013,34.6
2013,26.8
2011,25.7
2012,23.7
2011,25.4
2011,30.8
2019,31.9
2019,36.8
2019,33
2015,24.3
2013,27.8
2019,27
2019,31.7
2012,29.7
2019,32.3
2014,21.3
2019,35.2
2019,23.8
2019,27.1
2019,30.5
2012,33.8
2012,31.1
2011,27.7
2019,31.6
2019,23.8
2019,33.6
2011,30.9
2012,25.7
2019,29.1
2019,28.3
2019,36.5
2015,24.2
2012,26
2014,32.6
2013,35.1
2019,30.6
2013,35.1
2019,25.2
2019,34.1
2014,33.5
2019,29.5
2013,21.3
2019,36.5
2019,28.3
2019,30
2019,29.7
2019,31.4
2019,34.8
2013,24.7
2019,36
2019,34.4
2012,26.8
2013,29.6
2019,31.8
2013,30.3
2019,25
2013,29.4
2015,35.6
2019,29.2
2015,33.9
2019,34
2019,33.9
2019,34.2
2012,28.1
2019,33.2
2019,34.8
2019,37.4
2019,35.9
2012,27.4
2015,31.4
2014,25.7
2013,27.2
2011,26.6
2019,34.8
2014,31.3
2019,30.1
2019,31.4
2015,26.4
2019,35.4
2019,26.2
2015,30
2012,27.3
2012,27.3
2019,33.1
2019,26.6
2019,36.1
2014,29.7
2019,34
2015,29.2
2019,35.3
2014,32.7
2019,39.7
2015,20.2
2015,30.1
2015,22.1
2019,31.7
2019,40.8
2019,29
2012,25
2015,32.4
2019,32.5
2015,28.8
2012,24.6
2014,28.9
2013,21.8
2014,30.7
2014,30.7
2013,33.1
2014,27
2011,27.8
2015,30.7
2012,29.2
2012,34.5
2011,27.8
2011,26.7
2011,24.5
2014,29.6
2012,31.1
2012,29.1
2012,28.6
2011,27.1
2013,29.6
2012,21.9
2011,27.4
2015,25.3
2015,30.7
2015,22.7
2015,25
2012,30.1
2012,20.5
2014,21.7
2011,22.7
2014,31.9
2013,32.4
2015,30.4
2011,28
2012,29.8
2013,26.4
2011,29.2
2013,25.5
2015,25.1
2014,32.1
2015,24.5
2015,26.1
2013,26.5
2013,24.1
2013,26.2
2011,25.1
2014,35.7
2011,31.1
2013,32.5
2011,29
2011,23.7
2013,31.5
2012,24.3
2013,27.3
2011,23.8
2012,23.6
2012,30.4
2011,29.1
2011,23.7
2013,26.3
2014,35.9
2013,33.7
2014,26.9
2012,29.7
2013,33.2
2014,26.4
2014,29.5
2014,27.7
2014,24.8
2014,27.4
2013,28.3
2014,31.6
2015,28.4
2011,30.4
2013,28.4
2011,29.6
2012,25.2
2013,30.4
2011,34.9
2014,29.7
2015,33.8
2015,31.2
2015,34.2
2013,31.7
2015,31.3
2013,31.3
2013,27.2
2014,28.4
2013,23.6
2011,29.6
2012,28.1
2012,31.4
2012,32.2
2011,26.2
2014,27.6
2014,29.8
2013,22.9
2011,30.4
2011,32.4
2011,21.8
2014,27.3
2015,26
2015,32.4
2014,23.3
2013,31.1
2015,36.2
2014,30.2
2013,29.9
2011,26.3
2011,33.4
2015,25.6
2022,32.1
2015,23.6
2011,28.6
2012,22.9
2013,29.4
2014,27.9
2011,24.6
2012,26.2
2014,30.2
2015,31
2014,30.5
2012,27.6
2015,29.7
2014,22.1
2012,25.6
2011,24.4
2011,24.5
2013,25
2022,30.6
2012,29.6
2015,34.6
2014,26.2
2013,30.4
2012,34.7
2022,31.6
2015,28.9
2014,31.2
2012,27.1
2011,30.3
2013,31.8
2013,30.9
2016,30.7
2016,32.3
2016,31.2
2016,27.4
2016,30.7
2016,32.5
2016,27.4
2016,29.9
2016,31.6
2016,26.6
2016,33.7
2016,23.6
2016,26
2016,27.4
2016,25.5
2016,28.6
2016,25.4
2016,29
2016,34.2
2016,25.8
2016,29.6
2016,37.3
2016,32
2016,31.4
2016,22.3
2016,35.5
2016,28.3
2016,27.7
2016,35.7
2016,28.7
2016,31.7
2016,22.6
2016,31.9
2016,32.8
2016,29
2016,37.7
2016,31.4
2022,34.5
2016,32.5
2016,32.5
2016,27.8
2016,30.7
2021,30.4
2021,33.3
2021,33.9
2021,35.9
2021,33.9
2021,35
2021,29
2021,38.7
2021,36
2021,28.2
2021,38.6
2021,34.2
2021,37.8
2021,32.4
2021,30.1
2021,39.1
2021,25
2021,30.9
2021,36.1
2021,34.3
2021,40.3
2021,31.3
2021,33.9
2021,40.6
2021,30.6
2021,31.6
2021,35.2
2021,36.1
2021,37.3
2021,28.8
2021,33
2021,24.7
2021,39.4
2021,27.4
2021,33.5
2021,27.6
2021,36.4
2021,36
2021,33.5
2021,36
2021,31.3
2021,34.2
2021,38.4
2021,34.4
2021,32
2021,30.4
2021,31.8
2021,25.1
2021,35.6
2021,34.6
2021,36.3
2021,29.1
2021,39.9
2021,31.9
2022,38.3
2022,37.4
2022,33.2
2022,28.1
2022,25
2022,24.3
2022,37.9
2022,37
2022,32.7
2022,25.9
2022,37.4
2022,33.2
2022,33.4
2022,37.7
2022,35.7
2022,37.7
2022,40.1
2022,27.2
2022,33.2
2022,33.1
2022,33.6
2022,36.4
2022,39.5
2022,30.5
2022,34.1
2022,35.4
2022,35.3
2022,30.2
2022,29.1
2022,32.4
2022,33.5
2022,30.1
2022,38.1
2022,40
2022,30.9
2022,33.4
2022,34.1
2022,30.8
2022,35
2022,36.8
2022,38.9
2022,35.5
2022,33.3
2022,31.1
2022,32.1
2022,26.8
2022,31.7
2022,37.7
2022,41
2022,34.3
